eregistry_key,irn,Levels,Key1,Key2,Key3,Key4,Key5,Key6,Key7,Key8,Key9,Key10,Value,SummaryData,AdmImportIdentifier,AdmInsertedBy,AdmDateInserted,AdmTimeInserted,AdmDateModified,AdmTimeModified,AdmModifiedBy,OwnerId,AdmPublishWebNoPassword,AdmPublishWebPassword,SecRecordStatus,AdmSystemIdentifier
11,50921,6,"Group","Admin","Table","eaccessionlots","Report","Accession Summary W/PARTIES, NO CONTACT","","","","","Export CSV#Group1=[AcqSourceRef_tab.eparties.!SummaryData,!AcqSourceRole_tab,AccDmnsDateReceived,TraDmnsNotes,TraDmnsTransactionDescription,TraDmnsStatusDate,TraDmnsLegalStatus,TraDmnsTransactionType,TraDmnsCollection,@SecDepartment_tab,LotLotNumber]##-1###","Group|Admin|Table|eaccessionlots|Report|Accession Summary W/PARTIES, NO CONTACT|Export CSV#Group1=[AcqSourceRef_tab.eparties.!SummaryData,!AcqSourceRole_tab,AccDmnsDateReceived,TraDmnsNotes,TraDmnsTransactionDescription,TraDmnsStatusDate,TraDmnsLegalStatus,TraDmnsTransactionType,TraDmnsCollection,@SecDepartment_tab,LotLotNumber]##-1###","","Veronika Hall",2018-09-18,"16:49:20",2018-09-18,"16:49:20","Veronika Hall","vhall","","","",""
12,50926,6,"Group","Admin","Table","eaccessionlots","Report","Deaccession Report","","","","","Crystal#LotLotNumber;@SecDepartment_tab;TraDmnsStatusDate;TraDmnsCollection;TraDmnsTransactionType;TraDmnsTransactionDescription;TraDmnsNotes;Group1=[AcqSourceRole_tab,AcqSourceRef_tab.eparties.SummaryData];PurDmnsValueCategory##-1#Deaccession Report.rpt##","Group|Admin|Table|eaccessionlots|Report|Deaccession Report|Crystal#LotLotNumber;@SecDepartment_tab;TraDmnsStatusDate;TraDmnsCollection;TraDmnsTransactionType;TraDmnsTransactionDescription;TraDmnsNotes;Group1=[AcqSourceRole_tab,AcqSourceRef_tab.eparties.SummaryData];PurDmnsValueCategory##-1#Deaccession Report.rpt##","","Veronika Hall",2018-09-18,"16:49:38",2018-09-18,"16:49:38","Veronika Hall","vhall","","","",""
13,1030,6,"Group","Admin","Table","eadmin","Admin Task","Background Load Restart","","","","","emuload restart","Group|Admin|Table|eadmin|Admin Task|Background Load Restart|emuload restart","","emu",2018-01-16,"21:18:00",2018-01-16,"21:18:00","emu","emu","","","",""
14,1031,6,"Group","Admin","Table","eadmin","Admin Task","Background Load Status","","","","","emuload status","Group|Admin|Table|eadmin|Admin Task|Background Load Status|emuload status","","emu",2018-01-16,"21:18:00",2018-01-16,"21:18:00","emu","emu","","","",""
15,1032,6,"Group","Admin","Table","eadmin","Admin Task","IMu Load Restart","","","","","emuload restart imu","Group|Admin|Table|eadmin|Admin Task|IMu Load Restart|emuload restart imu","","emu",2018-01-16,"21:18:00",2018-01-16,"21:18:00","emu","emu","","","",""
16,1033,6,"Group","Admin","Table","eadmin","Admin Task","Show System Jobs","","","","","ps -ef | sort +0 -1 +7","Group|Admin|Table|eadmin|Admin Task|Show System Jobs|ps -ef | sort +0 -1 +7","","emu",2018-01-16,"21:18:00",2018-01-16,"21:18:00","emu","emu","","","",""
17,1034,6,"Group","Admin","Table","eadmin","Admin Task","Start IMu Load","","","","","emuload start imu","Group|Admin|Table|eadmin|Admin Task|Start IMu Load|emuload start imu","","emu",2018-01-16,"21:18:00",2018-01-16,"21:18:00","emu","emu","","","",""
18,1035,6,"Group","Admin","Table","eadmin","Admin Task","Stop IMu Load","","","","","emuload stop imu","Group|Admin|Table|eadmin|Admin Task|Stop IMu Load|emuload stop imu","","emu",2018-01-16,"21:18:00",2018-01-16,"21:18:00","emu","emu","","","",""
19,3278,6,"Group","Admin","Table","eadmin","Admin Task","texlist","","","","","texlist -s","Group|Admin|Table|eadmin|Admin Task|texlist|texlist -s","","emu",2018-01-16,"21:18:03",2019-05-07,"13:27:34","Sam Schiller","hthorwald","","","",""
20,100882,6,"Group","Admin","Table","eadmin","Admin Task","View Orphan Records","","","","","findorphanrecords -g""[attachment;;500:Enter a Group Record:egroups]"" -d[combobox:Select Module to Search All Records:Field Help Module] ""-o[combobox;Screen:Select Output Method:Orphan Report Output]""","Group|Admin|Table|eadmin|Admin Task|View Orphan Records|findorphanrecords -g""[attachment;;500:Enter a Group Record:egroups]"" -d[combobox:Select Module to Search All Records:Field Help Module] ""-o[combobox;Screen:Select Output Method:Orphan Report Output]""","","emu",2019-09-09,"09:33:54",2019-09-23,"11:59:57","emu","emu","No","No","",""
21,1036,6,"Group","Admin","Table","eadmin","Admin Task","View System Indexing","","","","","emuindexing","Group|Admin|Table|eadmin|Admin Task|View System Indexing|emuindexing","","emu",2018-01-16,"21:18:00",2018-01-16,"21:18:00","emu","emu","","","",""
22,158081,6,"Group","Admin","Table","ecatalogue","Column Access","AdmGUIDIsPreferred_tab","","","","","dvDisplay;dvEdit;duEdit;dvInsert;duInsert;dvQuery;duQuery;duReplace","Group|Admin|Table|ecatalogue|Column Access|AdmGUIDIsPreferred_tab|dvDisplay;dvEdit;duEdit;dvInsert;duInsert;dvQuery;duQuery;duReplace","","Sam Schiller",2020-08-05,"13:25:21",2020-08-05,"14:22:50","Sam Schiller","sschiller","No","No","","sschiller-200805-1326"
23,158082,6,"Group","Admin","Table","ecatalogue","Column Access","AdmGUIDPreferredType","","","","","dvDisplay;dvEdit;duEdit;dvInsert;duInsert;dvQuery;duQuery;duReplace","Group|Admin|Table|ecatalogue|Column Access|AdmGUIDPreferredType|dvDisplay;dvEdit;duEdit;dvInsert;duInsert;dvQuery;duQuery;duReplace","","Sam Schiller",2020-08-05,"13:25:22",2020-08-05,"14:22:56","Sam Schiller","sschiller","No","No","","sschiller-200805-1326"
24,158083,6,"Group","Admin","Table","ecatalogue","Column Access","AdmGUIDPreferredValue","","","","","dvDisplay;dvEdit;duEdit;dvInsert;duInsert;dvQuery;duQuery;duReplace","Group|Admin|Table|ecatalogue|Column Access|AdmGUIDPreferredValue|dvDisplay;dvEdit;duEdit;dvInsert;duInsert;dvQuery;duQuery;duReplace","","Sam Schiller",2020-08-05,"13:25:22",2020-08-05,"14:23:02","Sam Schiller","sschiller","No","No","","sschiller-200805-1326"
25,158084,6,"Group","Admin","Table","ecatalogue","Column Access","AdmGUIDType_tab","","","","","dvDisplay;dvEdit;duEdit;dvInsert;duInsert;dvQuery;duQuery;duReplace","Group|Admin|Table|ecatalogue|Column Access|AdmGUIDType_tab|dvDisplay;dvEdit;duEdit;dvInsert;duInsert;dvQuery;duQuery;duReplace","","Sam Schiller",2020-08-05,"13:25:22",2020-08-05,"14:23:07","Sam Schiller","sschiller","No","No","","sschiller-200805-1326"
26,158085,6,"Group","Admin","Table","ecatalogue","Column Access","AdmGUIDValue_tab","","","","","dvDisplay;dvEdit;duEdit;dvInsert;duInsert;dvQuery;duQuery;duReplace","Group|Admin|Table|ecatalogue|Column Access|AdmGUIDValue_tab|dvDisplay;dvEdit;duEdit;dvInsert;duInsert;dvQuery;duQuery;duReplace","","Sam Schiller",2020-08-05,"13:25:22",2020-08-05,"14:23:21","Sam Schiller","sschiller","No","No","","sschiller-200805-1326"
27,1037,6,"Group","Admin","Table","ecatalogue","Column Access","AdmPublishWebNoPassword","","","","","dvDisplay;dvEdit;duEdit;dvInsert;duInsert;dvQuery;duQuery;duReplace","Group|Admin|Table|ecatalogue|Column Access|AdmPublishWebNoPassword|dvDisplay;dvEdit;duEdit;dvInsert;duInsert;dvQuery;duQuery;duReplace","","emu",2018-01-16,"21:18:00",2018-01-16,"21:18:00","emu","emu","","","",""
28,61549,6,"Group","Admin","Table","ecatalogue","Column Access","CatCatalogNumber","","","","","dvDisplay;dvEdit;duEdit;dvInsert;duInsert;dvQuery;duQuery;duReplace;","Group|Admin|Table|ecatalogue|Column Access|CatCatalogNumber|dvDisplay;dvEdit;duEdit;dvInsert;duInsert;dvQuery;duQuery;duReplace;","","Sam Schiller",2019-01-07,"09:29:26",2019-01-07,"09:29:39","Sam Schiller","hthorwald","No","No","",""
29,59255,6,"Group","Admin","Table","ecatalogue","Column Access","Default","","","","","dvDisplay;dvEdit;duEdit;dvInsert;duInsert;dvQuery;duQuery;duReplace","Group|Admin|Table|ecatalogue|Column Access|Default|dvDisplay;dvEdit;duEdit;dvInsert;duInsert;dvQuery;duQuery;duReplace","","Sam Schiller",2018-12-13,"14:29:05",2018-12-13,"14:29:33","Sam Schiller","emu","No","No","",""
30,1038,6,"Group","Admin","Table","ecatalogue","Column Access","EADArrangement","","","","","dvQuery;duQuery;dvDisplay;dvInsert;duInsert;dvEdit;duEdit;duReplace","Group|Admin|Table|ecatalogue|Column Access|EADArrangement|dvQuery;duQuery;dvDisplay;dvInsert;duInsert;dvEdit;duEdit;duReplace","","emu",2018-01-16,"21:18:00",2018-01-16,"21:18:00","emu","emu","","","",""
31,1039,6,"Group","Admin","Table","ecatalogue","Column Access","EADEditionStatement","","","","","dvQuery;duQuery;dvDisplay;dvInsert;duInsert;dvEdit;duEdit;duReplace","Group|Admin|Table|ecatalogue|Column Access|EADEditionStatement|dvQuery;duQuery;dvDisplay;dvInsert;duInsert;dvEdit;duEdit;duReplace","","emu",2018-01-16,"21:18:00",2018-01-16,"21:18:00","emu","emu","","","",""
32,1040,6,"Group","Admin","Table","ecatalogue","Column Access","EADSponsor","","","","","dvQuery;duQuery;dvDisplay;dvInsert;duInsert;dvEdit;duEdit;duReplace","Group|Admin|Table|ecatalogue|Column Access|EADSponsor|dvQuery;duQuery;dvDisplay;dvInsert;duInsert;dvEdit;duEdit;duReplace","","emu",2018-01-16,"21:18:00",2018-01-16,"21:18:00","emu","emu","","","",""
33,1041,6,"Group","Admin","Table","ecatalogue","Column Access","LocBoxSize","","","","","dvQuery;duQuery;dvDisplay;dvInsert;duInsert;dvEdit;duEdit;duReplace","Group|Admin|Table|ecatalogue|Column Access|LocBoxSize|dvQuery;duQuery;dvDisplay;dvInsert;duInsert;dvEdit;duEdit;duReplace","","emu",2018-01-16,"21:18:00",2018-01-16,"21:18:00","emu","emu","","","",""
34,1042,6,"Group","Admin","Table","ecatalogue","Column Access","LocHandlingInstructions","","","","","dvQuery;duQuery;dvDisplay;dvInsert;duInsert;dvEdit;duEdit;duReplace","Group|Admin|Table|ecatalogue|Column Access|LocHandlingInstructions|dvQuery;duQuery;dvDisplay;dvInsert;duInsert;dvEdit;duEdit;duReplace","","emu",2018-01-16,"21:18:00",2018-01-16,"21:18:00","emu","emu","","","",""
35,1043,6,"Group","Admin","Table","ecatalogue","Column Access","LocStorageInstructions","","","","","dvQuery;duQuery;dvDisplay;dvInsert;duInsert;dvEdit;duEdit;duReplace","Group|Admin|Table|ecatalogue|Column Access|LocStorageInstructions|dvQuery;duQuery;dvDisplay;dvInsert;duInsert;dvEdit;duEdit;duReplace","","emu",2018-01-16,"21:18:00",2018-01-16,"21:18:00","emu","emu","","","",""
36,1044,6,"Group","Admin","Table","ecatalogue","Column Access","ValReasonForValuationHistory_tab","","","","","dvQuery;duQuery;dvDisplay;dvInsert;duInsert;dvEdit;duEdit;duReplace","Group|Admin|Table|ecatalogue|Column Access|ValReasonForValuationHistory_tab|dvQuery;duQuery;dvDisplay;dvInsert;duInsert;dvEdit;duEdit;duReplace","","emu",2018-01-16,"21:18:00",2018-01-16,"21:18:00","emu","emu","","","",""
37,1045,6,"Group","Admin","Table","ecatalogue","Column Access","VouExsiccataTitle","","","","","dvQuery;duQuery;dvDisplay;dvInsert;duInsert;dvEdit;duEdit;duReplace","Group|Admin|Table|ecatalogue|Column Access|VouExsiccataTitle|dvQuery;duQuery;dvDisplay;dvInsert;duInsert;dvEdit;duEdit;duReplace","","emu",2018-01-16,"21:18:00",2018-01-16,"21:18:00","emu","emu","","","",""
38,291519,6,"Group","Admin","Table","ecatalogue","List Columns","Archives: AllyceDAMExport","","","","","MulIdentifier_tab=100;CatCatalogNumber=100;EADTitleProper=273;AssAssociations_tab=100;DesInscription=100;EADUnitDateEarliest=100;EADUnitDateLatest=100;DesFormatType=100;EADAccessRestrictions=100;EADUseRestrictions=100;EADGeographicName_tab=100;AssAssociations_tab=100;AssAssociations_tab=100;EADSubject_tab=100;CatDepartment=100;irn=100;EADObjectType_tab=100;AssAssociationsRole_tab=100#17","Group|Admin|Table|ecatalogue|List Columns|Archives: AllyceDAMExport|MulIdentifier_tab=100;CatCatalogNumber=100;EADTitleProper=273;AssAssociations_tab=100;DesInscription=100;EADUnitDateEarliest=100;EADUnitDateLatest=100;DesFormatType=100;EADAccessRestrictions=100;EADUseRestrictions=100;EADGeographicName_tab=100;AssAssociations_tab=100;AssAssociations_tab=100;EADSubject_tab=100;CatDepartment=100;irn=100;EADObjectType_tab=100;AssAssociationsRole_tab=100#17","","Allyce Farino",2025-04-09,"09:49:22",2025-04-09,"09:49:22","Allyce Farino","afarino","","","",""
39,4452,6,"Group","Admin","Table","ecatalogue","List Columns","Conchology box labels","","","","","DarCatalogNumber=45;IdeQualifiedName_tab=135;IdeFamilyLocal_tab=94;CatAccessionLot_tab=350;CatSpecimenCount=43;CatSite=139;DetDeterminedBy_tab=100;DetDeterminationDate0=100;ParCollectorNumber=68;DarCollector=158;ParCollectingDateStart=100;ParCollectingDateEnd=100#67","Group|Admin|Table|ecatalogue|List Columns|Conchology box labels|DarCatalogNumber=45;IdeQualifiedName_tab=135;IdeFamilyLocal_tab=94;CatAccessionLot_tab=350;CatSpecimenCount=43;CatSite=139;DetDeterminedBy_tab=100;DetDeterminationDate0=100;ParCollectorNumber=68;DarCollector=158;ParCollectingDateStart=100;ParCollectingDateEnd=100#67","","emu",2018-01-16,"21:18:05",2018-01-16,"21:18:05","emu","psharp","","","",""
40,4451,6,"Group","Admin","Table","ecatalogue","List Columns","Conchology Group Review List","","","","","DarCatalogNumber=42;CatAccessionLot_tab=100;CatLegalStatus=100;IdeQualifiedName_tab=61;IdeFamilyLocal_tab=52;CatSite=65;CatSpecimenCount=31;DetDeterminedBy_tab=100;DetDeterminationDate0=78;DetRemarks_tab=67;ParCollectorNumber=93;ParCollectingDateStart=61;ParParticipant_tab=113;ParCollectingDateEnd=55;ParVerbatimCollectingText=68;ParCollectingMethod_tab=85;NteType_tab=100;NteText0=185;NteAttributedTo_nesttab=158;NteDate0=178;CatBotAcquired=100;CatDescription=100;DarLatitude=100;DarLongitude=100;AdmModifiedBy=100;AdmDateModified=93#60","Group|Admin|Table|ecatalogue|List Columns|Conchology Group Review List|DarCatalogNumber=42;CatAccessionLot_tab=100;CatLegalStatus=100;IdeQualifiedName_tab=61;IdeFamilyLocal_tab=52;CatSite=65;CatSpecimenCount=31;DetDeterminedBy_tab=100;DetDeterminationDate0=78;DetRemarks_tab=67;ParCollectorNumber=93;ParCollectingDateStart=61;ParParticipant_tab=113;ParCollectingDateEnd=55;ParVerbatimCollectingText=68;ParCollectingMethod_tab=85;NteType_tab=100;NteText0=185;NteAttributedTo_nesttab=158;NteDate0=178;CatBotAcquired=100;CatDescription=100;DarLatitude=100;DarLongitude=100;AdmModifiedBy=100;AdmDateModified=93#60","","emu",2018-01-16,"21:18:05",2018-01-16,"21:18:05","emu","psharp","","","",""
41,59077,6,"Group","Admin","Table","ecatalogue","List Columns","Education Collections Location View","","","","","CatCatalogNumber=100;EduObjectName=100;LocCurrentLocation=100#17","Group|Admin|Table|ecatalogue|List Columns|Education Collections Location View|CatCatalogNumber=100;EduObjectName=100;LocCurrentLocation=100#17","","Allyson Guerrero",2018-12-13,"10:39:38",2018-12-13,"10:39:38","Allyson Guerrero","Aguerrero","","","",""
42,165631,6,"Group","Admin","Table","ecatalogue","List Columns","Education Collections Location View - Copy","","","","","CatCatalogNumber=138;EduObjectName=138;LocCurrentLocation=138;LocDateMovedHistory_tab=138#17","Group|Admin|Table|ecatalogue|List Columns|Education Collections Location View - Copy|CatCatalogNumber=138;EduObjectName=138;LocCurrentLocation=138;LocDateMovedHistory_tab=138#17","","emu",2020-10-13,"13:36:38",2020-10-13,"13:36:38","emu","emu","","","",""
43,725,6,"Group","Admin","Table","ecatalogue","List Columns","Measurement","","","","","CatCatalogNumber=362;LocCurrentLocation=100;IdeObjectIdentification_tab=352;CulManufactCultureRecent_tab=290;MeaType_tab=177;MeaStandardizedValue_tab=531#17","Group|Admin|Table|ecatalogue|List Columns|Measurement|CatCatalogNumber=362;LocCurrentLocation=100;IdeObjectIdentification_tab=352;CulManufactCultureRecent_tab=290;MeaType_tab=177;MeaStandardizedValue_tab=531#17","","emu",2018-01-16,"21:18:00",2018-01-16,"21:18:00","emu","bwilliams","","","",""
44,242409,6,"Group","Admin","Table","ecatalogue","List Columns","Metatadata Dictionary","","","","","irn=100;CatCatalogNumber=100;EADTitleProper=100;DetRole_nesttab=100;DetDmnsInscription_tab=100;EADUnitDate=100;EADUnitDateEarliest=100;EADUnitDateLatest=100;EADAccessRestrictions=100;EADUseRestrictions=100;EADAccessRestrictions=100;EADSubject_tab=100;EADGeographicName_tab=100;DetOtherContributors_nesttab=100;EADLanguageOfFindingAid=100;EADPreferredCitation=100#17","Group|Admin|Table|ecatalogue|List Columns|Metatadata Dictionary|irn=100;CatCatalogNumber=100;EADTitleProper=100;DetRole_nesttab=100;DetDmnsInscription_tab=100;EADUnitDate=100;EADUnitDateEarliest=100;EADUnitDateLatest=100;EADAccessRestrictions=100;EADUseRestrictions=100;EADAccessRestrictions=100;EADSubject_tab=100;EADGeographicName_tab=100;DetOtherContributors_nesttab=100;EADLanguageOfFindingAid=100;EADPreferredCitation=100#17","","Melissa Bechhoefer",2023-07-28,"11:48:12",2023-07-28,"11:48:12","Melissa Bechhoefer","mbechhoefer","","","",""
45,65111,6,"Group","Admin","Table","ecatalogue","List Columns","Relocation view","","","","","irn=100;CatCatalogNumber=218;IdeObjectIdentification_tab=304;CatLocality_tab=100;CulManufactCulture_nesttab&CulManufactCulture_tab=417;LocDateMoved=100;LocLocationType=100;LocCurrentLocation=414;CatCollectionName_tab=100#17","Group|Admin|Table|ecatalogue|List Columns|Relocation view|irn=100;CatCatalogNumber=218;IdeObjectIdentification_tab=304;CatLocality_tab=100;CulManufactCulture_nesttab&CulManufactCulture_tab=417;LocDateMoved=100;LocLocationType=100;LocCurrentLocation=414;CatCollectionName_tab=100#17","","Dominique Alhambra",2019-02-04,"09:04:55",2019-02-04,"09:04:55","Dominique Alhambra","dalhambra","","","",""
46,24797,6,"Group","Admin","Table","ecatalogue","Lookup","EADObjectType_tab","","","","","ReadWrite","Group|Admin|Table|ecatalogue|Lookup|EADObjectType_tab|ReadWrite","","Sam Schiller",2018-05-31,"11:34:05",2018-05-31,"13:38:35","Sam Schiller","sschiller","No","No","",""
47,24843,6,"Group","Admin","Table","ecatalogue","Lookup","LocLocationType","","","","","ReadWrite","Group|Admin|Table|ecatalogue|Lookup|LocLocationType|ReadWrite","","Sam Schiller",2018-05-31,"13:43:19",2018-05-31,"13:43:43","Sam Schiller","sschiller","No","No","",""
48,142335,5,"Group","Admin","Table","ecatalogue","Lookup","","","","","","WriteIgnore","Group|Admin|Table|ecatalogue|Lookup|WriteIgnore","","Sam Schiller",2020-05-01,"10:12:33",2020-05-04,"07:11:31","Sam Schiller","sschiller","No","No","",""
49,142329,5,"Group","Admin","Table","ecatalogue","Lookup","","","","","","WriteIgnore","Group|Admin|Table|ecatalogue|Lookup|WriteIgnore","","Sam Schiller",2020-05-01,"10:09:37",2020-05-04,"07:11:35","Sam Schiller","sschiller","No","No","",""
50,181059,6,"Group","Admin","Table","ecatalogue","Report","Anthro Basic 2020","","","","","Crystal#CatCatalogNumber;IdeObjectIdentification_tab;!CulManufactCulture_nesttab&CulManufactCulture_tab;CatLocalityRef_tab.ecollectionevents.SummaryData;!DatBeginDate0;!DatEndDate0;Group1=[!MeaType_tab,!MeaVerbatimValue_tab,!MeaVerbatimUnit_tab,!MeaStandardizedValue_tab,!MeaStandardizedUnit_tab];MulMultiMediaRef_tab.emultimedia.Multimedia;CatCataloguEntry;@NteText0;ParParticipantString##-1#Anthro Basic 2020.rpt#--all-images --delim-windows#","Group|Admin|Table|ecatalogue|Report|Anthro Basic 2020|Crystal#CatCatalogNumber;IdeObjectIdentification_tab;!CulManufactCulture_nesttab&CulManufactCulture_tab;CatLocalityRef_tab.ecollectionevents.SummaryData;!DatBeginDate0;!DatEndDate0;Group1=[!MeaType_tab,!MeaVerbatimValue_tab,!MeaVerbatimUnit_tab,!MeaStandardizedValue_tab,!MeaStandardizedUnit_tab];MulMultiMediaRef_tab.emultimedia.Multimedia;CatCataloguEntry;@NteText0;ParParticipantString##-1#Anthro Basic 2020.rpt#--all-images --delim-windows#","","Sam Schiller",2021-04-01,"15:44:54",2021-04-01,"15:44:54","Sam Schiller","sschiller","","","",""
